tier,coutDIAMOND,coutSAPPHIRE,coutEMERALD,coutRUBY,coutONYX,points,type
0,3,3,0,0,3,3,NOBLE
0,0,3,3,3,0,3,NOBLE
0,3,0,0,3,3,3,NOBLE
0,0,0,4,4,0,3,NOBLE
0,0,4,4,0,0,3,NOBLE
0,4,0,0,0,4,3,NOBLE
0,3,3,3,0,0,3,NOBLE
0,4,4,0,0,0,3,NOBLE
1,0,3,0,0,0,0,DIAMOND
1,0,0,0,2,1,0,DIAMOND
1,0,1,1,1,1,0,DIAMOND
1,0,2,0,0,2,0,DIAMOND
1,0,0,4,0,0,1,DIAMOND
1,0,1,2,1,1,0,DIAMOND
1,0,2,2,0,1,0,DIAMOND
1,3,1,0,0,1,0,DIAMOND
1,1,0,0,0,2,0,SAPPHIRE
1,0,0,0,0,3,0,SAPPHIRE
1,1,0,1,1,1,0,SAPPHIRE
1,0,0,2,0,2,0,SAPPHIRE
1,0,0,0,4,0,1,SAPPHIRE
1,1,0,1,2,1,0,SAPPHIRE
1,1,0,2,2,0,0,SAPPHIRE
1,0,1,3,1,0,0,SAPPHIRE
1,2,1,0,0,0,0,EMERALD
1,0,0,0,3,0,0,EMERALD
1,1,1,0,1,1,0,EMERALD
1,0,2,0,2,0,0,EMERALD
1,0,0,0,0,4,1,EMERALD
1,1,1,0,1,2,0,EMERALD
1,0,1,0,2,2,0,EMERALD
1,1,3,1,0,0,0,EMERALD
1,0,2,1,0,0,0,RUBY
1,3,0,0,0,0,0,RUBY
1,1,1,1,0,1,0,RUBY
1,2,0,0,2,0,0,RUBY
1,4,0,0,0,0,1,RUBY
1,2,1,1,0,1,0,RUBY
1,2,0,1,0,2,0,RUBY
1,1,0,0,1,3,0,RUBY
1,0,0,2,1,0,0,ONYX
1,0,0,3,0,0,0,ONYX
1,1,1,1,1,0,0,ONYX
1,2,0,2,0,0,0,ONYX
1,0,4,0,0,0,1,ONYX
1,1,2,1,1,0,0,ONYX
1,2,2,0,1,0,0,ONYX
1,0,0,1,3,1,0,ONYX
2,0,0,0,5,0,2,DIAMOND
2,6,0,0,0,0,3,DIAMOND
2,0,0,3,2,2,1,DIAMOND
2,0,0,1,4,2,2,DIAMOND
2,2,3,0,3,0,1,DIAMOND
2,0,0,0,5,3,2,DIAMOND
2,0,5,0,0,0,2,SAPPHIRE
2,0,6,0,0,0,3,SAPPHIRE
2,0,2,2,3,0,1,SAPPHIRE
2,2,0,0,1,4,2,SAPPHIRE
2,0,2,3,0,3,1,SAPPHIRE
2,5,3,0,0,0,2,SAPPHIRE
2,0,0,5,0,0,2,EMERALD
2,0,0,6,0,0,3,EMERALD
2,2,3,0,0,2,1,EMERALD
2,3,0,2,3,0,1,EMERALD
2,4,2,0,0,1,2,EMERALD
2,0,5,3,0,0,2,EMERALD
2,0,0,0,0,5,2,RUBY
2,0,0,0,6,0,3,RUBY
2,2,0,0,2,3,1,RUBY
2,1,4,2,0,0,2,RUBY
2,0,3,0,2,3,1,RUBY
2,3,0,0,0,5,2,RUBY
2,5,0,0,0,0,2,ONYX
2,0,0,0,0,6,3,ONYX
2,3,2,2,0,0,1,ONYX
2,0,1,4,2,0,2,ONYX
2,3,0,3,0,2,1,ONYX
2,0,0,5,3,0,2,ONYX
3,0,0,0,0,7,4,DIAMOND
3,3,0,0,0,7,5,DIAMOND
3,3,0,0,3,6,4,DIAMOND
3,0,3,3,5,3,3,DIAMOND
3,7,0,0,0,0,4,SAPPHIRE
3,7,3,0,0,0,5,SAPPHIRE
3,6,3,0,0,3,4,SAPPHIRE
3,3,0,3,3,5,3,SAPPHIRE
3,0,7,0,0,0,4,EMERALD
3,0,7,3,0,0,5,EMERALD
3,3,6,3,0,0,4,EMERALD
3,5,3,0,3,3,3,EMERALD
3,0,0,7,0,0,4,RUBY
3,0,0,7,3,0,5,RUBY
3,0,3,6,3,0,4,RUBY
3,3,5,3,0,3,3,RUBY
3,0,0,0,7,0,4,ONYX
3,0,0,0,7,3,5,ONYX
3,0,0,3,6,3,4,ONYX
3,3,3,5,3,0,3,ONYX